[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yji6nngj&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 1667] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yji77cby&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 620] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yji7oxl0&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 756] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yji7z1we&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 21] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yji88l7m&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 21] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yji8m2sh&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 22] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjifw44j&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 19] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjig811z&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 21] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjiglkx5&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 38] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:27 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjikvgfi&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 20] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
